record_id,student_id,dataset_source,sleep_hours,academic_score,gender,sleep_category,integration_method,bedtime_variability,cumulative_gpa,age,study_hours_per_day,attendance_percentage,productivity_score,distraction_hours
966,KGL_S1418,Kaggle,4.0,54.7,Female,Poor,append,,,24,2.4,79.6,5354.583333333333,3.6999999999999997
1237,KGL_S1689,Kaggle,4.0,72.4,Female,Poor,append,,,18,4.1,84.0,5735.416666666666,2.1
1425,KGL_S1877,Kaggle,4.0,36.9,Female,Poor,append,,,18,2.7,76.6,5279.583333333333,4.300000000000001
1376,KGL_S1828,Kaggle,4.0,58.2,Female,Poor,append,,,23,2.5,86.1,6652.500000000001,5.0
640,KGL_S1092,Kaggle,4.1,43.9,Male,Poor,append,,,18,0.5,97.9,5457.916666666667,3.3
1428,KGL_S1880,Kaggle,4.1,41.6,Male,Poor,append,,,21,2.5,76.9,5901.666666666667,5.2
1536,KGL_S1988,Kaggle,4.1,72.5,Male,Poor,append,,,18,3.3,67.5,6500.0,3.5999999999999996
1093,KGL_S1545,Kaggle,4.1,54.1,Female,Poor,append,,,24,3.1,89.5,5768.75,5.9
970,KGL_S1422,Kaggle,4.1,29.5,Female,Poor,append,,,22,2.0,66.9,4432.916666666667,6.3
1326,KGL_S1778,Kaggle,4.1,100.0,Male,Poor,append,,,24,5.1,88.9,7587.083333333334,1.9
172,CMU_615,CMU,4.173188405,63.74999999999999,Male,Poor,append,2.566892792,3.58,,,,,
1052,KGL_S1504,Kaggle,4.2,77.9,Female,Poor,append,,,23,5.4,79.0,5954.166666666667,6.2
1002,KGL_S1454,Kaggle,4.2,46.7,Male,Poor,append,,,21,3.2,78.0,4762.5,5.800000000000001
916,KGL_S1368,Kaggle,4.2,71.0,Female,Poor,append,,,19,2.8,82.4,6622.499999999999,5.0
1366,KGL_S1818,Kaggle,4.2,48.5,Male,Poor,append,,,20,2.3,83.0,4720.833333333333,5.6
255,CMU_55,CMU,4.2561728400000005,62.5,Female,Poor,append,2.172514793,3.346428179,,,,,
1191,KGL_S1643,Kaggle,4.3,49.4,Female,Poor,append,,,17,1.2,85.2,5536.25,3.3
1086,KGL_S1538,Kaggle,4.3,67.5,Male,Poor,append,,,21,4.3,83.3,6353.333333333333,6.0
1024,KGL_S1476,Kaggle,4.3,39.9,Female,Poor,append,,,17,2.1,77.4,5445.416666666667,4.1
1206,KGL_S1658,Kaggle,4.3,74.8,Female,Poor,append,,,20,3.2,96.2,7113.333333333334,4.4
528,CMU_91551,CMU,4.342857143333333,98.6125,Male,Poor,append,0.160613093,3.857285714,,,,,
343,CMU_432,CMU,4.392156863333333,76.25,Male,Poor,append,2.758615451,3.21,,,,,
1449,KGL_S1901,Kaggle,4.4,71.4,Male,Poor,append,,,20,3.3,99.4,5985.0,4.2
1154,KGL_S1606,Kaggle,4.4,93.1,Male,Poor,append,,,23,6.8,97.2,7013.333333333334,3.2
1210,KGL_S1662,Kaggle,4.4,76.3,Male,Poor,append,,,21,3.2,86.1,6881.666666666666,4.2
1465,KGL_S1917,Kaggle,4.4,77.2,Male,Poor,append,,,20,5.3,75.2,5900.833333333334,3.2
794,KGL_S1246,Kaggle,4.4,51.0,Male,Poor,append,,,17,1.4,83.0,6502.083333333333,3.5
1352,KGL_S1804,Kaggle,4.4,59.0,Female,Poor,append,,,22,4.3,88.4,5574.583333333334,5.1
1300,KGL_S1752,Kaggle,4.4,71.3,Male,Poor,append,,,18,4.5,72.3,5776.25,4.5
75,CMU_278,CMU,4.447222221666666,89.0,Female,Poor,append,0.772059229,2.98,,,,,
649,KGL_S1101,Kaggle,4.5,74.0,Male,Poor,append,,,18,3.6,78.1,6192.083333333333,4.9
642,KGL_S1094,Kaggle,4.5,81.3,Female,Poor,append,,,22,5.3,72.6,7085.833333333333,3.2
1491,KGL_S1943,Kaggle,4.5,72.0,Male,Poor,append,,,21,5.2,88.2,5850.833333333334,6.6
1217,KGL_S1669,Kaggle,4.5,69.9,Male,Poor,append,,,23,3.5,87.2,7200.833333333334,4.4
560,KGL_S1012,Kaggle,4.5,76.9,Female,Poor,append,,,19,3.7,81.1,7287.916666666666,2.5
827,KGL_S1279,Kaggle,4.5,85.9,Female,Poor,append,,,18,4.6,90.0,7427.083333333333,2.7
860,KGL_S1312,Kaggle,4.5,70.1,Male,Poor,append,,,20,3.3,93.2,6152.916666666667,3.5
515,CMU_82986,CMU,4.543103448333333,79.166666675,Female,Poor,append,0.15030506,3.5334,,,,,
202,CMU_51723,CMU,4.565277778333334,86.67,Male,Poor,append,0.265968809,2.8002,,,,,
245,CMU_20,CMU,4.5696428566666665,68.75,Female,Poor,append,0.112528959,2.882758207,,,,,
206,CMU_94455,CMU,4.597435896666667,83.333333325,Male,Poor,append,0.100262667,3.055666667,,,,,
1158,KGL_S1610,Kaggle,4.6,69.6,Female,Poor,append,,,21,3.6,100.0,5958.333333333333,5.199999999999999
1004,KGL_S1456,Kaggle,4.6,68.7,Female,Poor,append,,,22,3.9,86.0,5472.916666666667,2.3
549,KGL_S1001,Kaggle,4.6,100.0,Female,Poor,append,,,20,6.9,97.3,7838.75,5.1
969,KGL_S1421,Kaggle,4.6,87.1,Female,Poor,append,,,18,5.2,76.0,7327.083333333334,6.3
1242,KGL_S1694,Kaggle,4.6,88.6,Male,Poor,append,,,18,5.0,77.6,7419.166666666666,5.4
1354,KGL_S1806,Kaggle,4.6,40.3,Female,Poor,append,,,24,3.2,85.2,5275.833333333333,5.0
1195,KGL_S1647,Kaggle,4.6,84.2,Female,Poor,append,,,17,4.3,88.9,6462.083333333334,1.5
771,KGL_S1223,Kaggle,4.6,41.9,Female,Poor,append,,,20,2.6,73.7,4582.083333333334,5.3
555,KGL_S1007,Kaggle,4.6,72.6,Female,Poor,append,,,21,4.3,77.7,7025.833333333332,3.0
699,KGL_S1151,Kaggle,4.6,69.7,Female,Poor,append,,,19,4.7,90.1,6502.499999999999,7.0
619,KGL_S1071,Kaggle,4.6,55.1,Female,Poor,append,,,18,1.4,89.9,7185.000000000001,3.4
417,CMU_19245,CMU,4.652873563333333,98.6125,Male,Poor,append,0.738920422,3.777666667,,,,,
775,KGL_S1227,Kaggle,4.7,96.6,Female,Poor,append,,,22,5.8,85.2,7494.583333333332,3.3
1498,KGL_S1950,Kaggle,4.7,50.8,Female,Poor,append,,,19,2.7,77.6,5065.0,4.2
1044,KGL_S1496,Kaggle,4.7,73.9,Female,Poor,append,,,19,3.8,86.1,6881.666666666666,3.0
561,KGL_S1013,Kaggle,4.7,75.8,Female,Poor,append,,,19,3.4,89.3,7378.333333333333,5.4
639,KGL_S1091,Kaggle,4.7,63.4,Female,Poor,append,,,20,4.8,80.6,5348.333333333333,6.4
760,KGL_S1212,Kaggle,4.7,29.7,Male,Poor,append,,,21,1.4,92.5,4968.75,6.1
683,KGL_S1135,Kaggle,4.7,74.3,Male,Poor,append,,,21,3.4,82.8,6892.916666666666,3.7
971,KGL_S1423,Kaggle,4.7,53.2,Female,Poor,append,,,19,3.6,82.3,5088.75,4.5
1438,KGL_S1890,Kaggle,4.7,84.5,Male,Poor,append,,,23,4.7,83.9,6128.75,1.9
1066,KGL_S1518,Kaggle,4.7,79.6,Female,Poor,append,,,24,5.0,94.8,6567.916666666668,5.7
1355,KGL_S1807,Kaggle,4.7,65.2,Female,Poor,append,,,17,3.3,70.3,6507.5,1.8
1511,KGL_S1963,Kaggle,4.7,53.3,Female,Poor,append,,,23,3.1,95.9,5616.250000000001,4.1
1429,KGL_S1881,Kaggle,4.7,45.5,Male,Poor,append,,,22,2.9,86.8,4972.083333333333,5.300000000000001
440,CMU_30453,CMU,4.710416666666666,90.275,Female,Poor,append,12.21054989,3.222,,,,,
217,CMU_390,CMU,4.718518518333334,89.0,Female,Poor,append,1.98878316,3.81,,,,,
344,CMU_453,CMU,4.722222221666667,54.50000000000001,Male,Poor,append,4.255410998,3.6,,,,,
377,CMU_159,CMU,4.797619048333333,72.96875,Male,Poor,append,0.467478632,3.421428286,,,,,
646,KGL_S1098,Kaggle,4.8,63.9,Male,Poor,append,,,22,2.4,92.2,6732.083333333332,3.1
1230,KGL_S1682,Kaggle,4.8,53.4,Female,Poor,append,,,23,2.7,88.9,6534.999999999999,7.199999999999999
741,KGL_S1193,Kaggle,4.8,81.3,Male,Poor,append,,,23,4.6,86.0,6816.666666666666,2.8
1426,KGL_S1878,Kaggle,4.8,60.0,Male,Poor,append,,,21,3.5,60.6,4921.25,3.1
808,KGL_S1260,Kaggle,4.8,70.9,Male,Poor,append,,,17,4.3,95.3,7267.916666666666,4.9
1099,KGL_S1551,Kaggle,4.8,67.0,Female,Poor,append,,,20,3.3,89.3,6180.416666666667,4.7
1423,KGL_S1875,Kaggle,4.8,100.0,Female,Poor,append,,,19,7.6,99.4,6703.750000000001,5.9
1054,KGL_S1506,Kaggle,4.8,53.2,Female,Poor,append,,,24,2.0,76.5,5443.75,6.1
1315,KGL_S1767,Kaggle,4.8,63.7,Male,Poor,append,,,24,3.1,79.0,7089.583333333334,5.1
575,KGL_S1027,Kaggle,4.8,71.1,Male,Poor,append,,,18,3.2,88.1,5598.333333333333,5.0
937,KGL_S1389,Kaggle,4.8,79.6,Male,Poor,append,,,17,5.3,84.9,7018.333333333334,6.8
999,KGL_S1451,Kaggle,4.8,58.6,Female,Poor,append,,,22,1.2,69.9,5935.0,3.0
913,KGL_S1365,Kaggle,4.8,76.0,Female,Poor,append,,,23,5.1,81.9,5985.0,3.6
1011,KGL_S1463,Kaggle,4.8,44.5,Male,Poor,append,,,17,2.5,88.1,4837.916666666666,6.1
1167,KGL_S1619,Kaggle,4.8,45.1,Male,Poor,append,,,19,2.5,70.5,5283.333333333334,4.8
993,KGL_S1445,Kaggle,4.8,63.1,Male,Poor,append,,,19,2.1,78.8,7074.166666666668,3.1999999999999997
838,KGL_S1290,Kaggle,4.8,75.9,Male,Poor,append,,,17,4.0,80.7,7069.583333333332,2.7
270,CMU_106,CMU,4.857575758333334,89.16665,Female,Poor,append,2.027127778,3.45999992,,,,,
17,CMU_211,CMU,4.868390805000001,69.5,Female,Poor,append,0.235034014,3.77,,,,,
38,CMU_301,CMU,4.8913793100000005,94.25,Male,Poor,append,0.093117205,4.0,,,,,
1537,KGL_S1989,Kaggle,4.9,47.6,Male,Poor,append,,,24,1.0,76.4,5753.749999999999,3.5
1183,KGL_S1635,Kaggle,4.9,45.8,Male,Poor,append,,,18,2.4,79.7,5440.416666666667,2.9
825,KGL_S1277,Kaggle,4.9,71.4,Female,Poor,append,,,22,5.9,89.0,6297.916666666667,3.9
690,KGL_S1142,Kaggle,4.9,65.4,Male,Poor,append,,,20,3.2,88.3,5957.5,4.0
1486,KGL_S1938,Kaggle,4.9,28.0,Male,Poor,append,,,22,1.2,97.7,5025.833333333334,4.0
660,KGL_S1112,Kaggle,4.9,43.9,Female,Poor,append,,,24,1.9,96.2,6332.083333333333,4.5
943,KGL_S1395,Kaggle,4.9,77.8,Male,Poor,append,,,20,4.1,82.5,6906.25,4.9
964,KGL_S1416,Kaggle,4.9,49.9,Male,Poor,append,,,21,1.1,86.7,6605.0,5.2
1249,KGL_S1701,Kaggle,4.9,96.4,Male,Poor,append,,,24,4.7,74.9,7184.999999999999,4.0
869,KGL_S1321,Kaggle,4.9,67.8,Male,Poor,append,,,21,2.9,77.6,6815.000000000001,4.6
552,KGL_S1004,Kaggle,4.9,66.4,Female,Poor,append,,,19,5.0,90.9,5553.749999999999,4.9
1481,KGL_S1933,Kaggle,4.9,47.5,Female,Poor,append,,,17,1.8,81.1,6881.666666666666,5.0
785,KGL_S1237,Kaggle,4.9,53.8,Female,Poor,append,,,22,2.0,75.0,6552.083333333333,4.7
1048,KGL_S1500,Kaggle,4.9,84.5,Male,Poor,append,,,23,5.5,84.4,6995.416666666668,2.5
1484,KGL_S1936,Kaggle,4.9,66.1,Male,Poor,append,,,22,4.5,88.6,5496.25,6.3
1045,KGL_S1497,Kaggle,4.9,80.3,Male,Poor,append,,,20,5.5,81.5,6558.333333333333,3.6
1115,KGL_S1567,Kaggle,4.9,93.1,Male,Poor,append,,,24,4.7,71.2,7019.583333333332,7.1
1421,KGL_S1873,Kaggle,4.9,84.9,Female,Poor,append,,,17,4.3,82.7,7077.916666666667,1.3
133,CMU_518,CMU,4.949166666666667,100.0,Female,Poor,append,0.646986765,4.0,,,,,
333,CMU_562,CMU,4.972222221666667,88.0,Female,Poor,append,10.59540365,3.88,,,,,
501,CMU_70492,CMU,4.984567901666667,88.891666675,Male,Poor,append,0.104328156,3.4445,,,,,
214,CMU_378,CMU,4.984920635,100.0,Female,Poor,append,0.540711111,4.0,,,,,
1278,KGL_S1730,Kaggle,5.0,58.4,Female,Poor,append,,,19,4.3,91.9,5391.250000000001,5.300000000000001
609,KGL_S1061,Kaggle,5.0,75.0,Male,Poor,append,,,23,4.0,100.0,6635.416666666666,4.3
1504,KGL_S1956,Kaggle,5.0,59.6,Female,Poor,append,,,20,3.2,71.0,5295.833333333334,3.8
1268,KGL_S1720,Kaggle,5.0,94.2,Female,Poor,append,,,18,4.9,95.1,6929.583333333333,2.1
688,KGL_S1140,Kaggle,5.0,63.4,Male,Poor,append,,,24,2.5,85.4,6530.833333333334,6.0
774,KGL_S1226,Kaggle,5.0,88.7,Male,Poor,append,,,21,5.5,84.1,5675.416666666666,3.1
1120,KGL_S1572,Kaggle,5.0,60.4,Male,Poor,append,,,17,3.5,82.7,5713.333333333334,3.2
1224,KGL_S1676,Kaggle,5.0,37.4,Female,Poor,append,,,20,1.8,95.4,5676.666666666667,8.0
1113,KGL_S1565,Kaggle,5.0,79.3,Female,Poor,append,,,18,5.1,90.3,6809.583333333333,4.9
789,KGL_S1241,Kaggle,5.0,60.6,Male,Poor,append,,,23,4.3,66.5,5277.083333333334,5.1
1028,KGL_S1480,Kaggle,5.0,55.9,Male,Poor,append,,,20,3.5,81.2,4884.166666666667,6.0
1009,KGL_S1461,Kaggle,5.0,49.7,Female,Poor,append,,,21,1.3,92.3,5745.0,5.6
1527,KGL_S1979,Kaggle,5.0,53.4,Male,Poor,append,,,22,1.3,76.1,6756.666666666666,4.0
890,KGL_S1342,Kaggle,5.0,54.7,Male,Poor,append,,,19,2.3,77.2,5252.916666666667,3.9000000000000004
723,KGL_S1175,Kaggle,5.0,65.3,Other,Poor,append,,,22,3.0,100.0,7010.416666666666,3.5
1212,KGL_S1664,Kaggle,5.0,64.4,Male,Poor,append,,,17,3.8,83.1,6004.583333333333,3.5
1073,KGL_S1525,Kaggle,5.0,84.1,Male,Poor,append,,,23,5.3,91.6,6498.333333333333,3.8
924,KGL_S1376,Kaggle,5.0,65.7,Female,Poor,append,,,20,4.3,76.9,5672.500000000001,6.2
32,CMU_299,CMU,5.00625,42.5,Female,Poor,append,1.720101235,3.28,,,,,
101,CMU_202,CMU,5.006321838333333,75.0,Female,Poor,append,0.173230938,1.95,,,,,
507,CMU_75149,CMU,5.0134920633333335,79.16250000000001,Female,Poor,append,1.103457639,3.111166667,,,,,
224,CMU_430,CMU,5.02183908,81.0,Female,Poor,append,0.209741355,3.58,,,,,
61,CMU_234,CMU,5.057051281666667,74.5,Male,Poor,append,0.961935111,1.91,,,,,
87,CMU_356,CMU,5.0625,34.5,Male,Poor,append,0.156791383,3.22,,,,,
431,CMU_26272,CMU,5.066666666666666,86.90357142500001,Female,Poor,append,1.020780298,3.904857143,,,,,
1032,KGL_S1484,Kaggle,5.1,56.9,Female,Poor,append,,,21,1.9,85.3,6559.583333333333,2.1
829,KGL_S1281,Kaggle,5.1,83.3,Female,Poor,append,,,20,5.3,79.9,7299.583333333334,5.300000000000001
1203,KGL_S1655,Kaggle,5.1,57.6,Female,Poor,append,,,21,2.2,82.5,6406.25,3.5
1399,KGL_S1851,Kaggle,5.1,67.4,Female,Poor,append,,,18,2.4,100.0,7041.666666666667,4.3999999999999995
960,KGL_S1412,Kaggle,5.1,73.7,Female,Poor,append,,,22,3.9,65.0,6739.583333333333,4.300000000000001
1539,KGL_S1991,Kaggle,5.1,85.3,Male,Poor,append,,,20,6.0,86.7,6136.25,5.1
1317,KGL_S1769,Kaggle,5.1,98.8,Male,Poor,append,,,17,6.4,64.1,5842.083333333333,5.7
1385,KGL_S1837,Kaggle,5.1,62.6,Female,Poor,append,,,21,2.2,76.6,7123.333333333333,2.4
906,KGL_S1358,Kaggle,5.1,56.3,Female,Poor,append,,,17,2.0,98.2,6059.166666666667,5.4
909,KGL_S1361,Kaggle,5.1,84.9,Male,Poor,append,,,17,4.4,92.6,7346.249999999999,6.1
413,CMU_14737,CMU,5.1,94.445833325,Male,Poor,append,0.222378222,3.666833333,,,,,
1518,KGL_S1970,Kaggle,5.1,85.9,Female,Poor,append,,,24,4.2,83.2,7298.75,3.9
1447,KGL_S1899,Kaggle,5.1,55.7,Female,Poor,append,,,19,3.8,80.8,5197.083333333333,3.5
1310,KGL_S1762,Kaggle,5.1,51.8,Male,Poor,append,,,21,1.9,84.0,5610.416666666666,3.6999999999999997
816,KGL_S1268,Kaggle,5.1,76.1,Male,Poor,append,,,23,3.2,100.0,7281.25,6.1
708,KGL_S1160,Kaggle,5.1,65.2,Male,Poor,append,,,23,3.6,93.9,6326.666666666667,5.0
1076,KGL_S1528,Kaggle,5.1,77.0,Male,Poor,append,,,18,3.9,65.3,6507.5,6.6
714,KGL_S1166,Kaggle,5.1,66.7,Male,Poor,append,,,24,2.1,87.5,6562.5,3.0
1444,KGL_S1896,Kaggle,5.1,58.4,Male,Poor,append,,,22,2.8,74.0,5641.666666666666,5.2
611,KGL_S1063,Kaggle,5.1,77.6,Male,Poor,append,,,17,4.1,76.5,7006.25,4.9
747,KGL_S1199,Kaggle,5.1,61.6,Female,Poor,append,,,19,3.8,85.5,6043.75,3.7
1068,KGL_S1520,Kaggle,5.1,62.7,Female,Poor,append,,,24,4.1,78.7,5165.416666666667,3.9
1509,KGL_S1961,Kaggle,5.1,81.1,Female,Poor,append,,,17,4.7,95.8,8020.0,3.4000000000000004
511,CMU_79352,CMU,5.105357143333333,88.891666675,Female,Poor,append,0.174304222,3.722333333,,,,,
83,CMU_175,CMU,5.122435896666667,90.0,Male,Poor,append,0.213579556,3.4,,,,,
10,CMU_137,CMU,5.149425286666667,63.74999999999999,Female,Poor,append,0.085000354,3.53,,,,,
493,CMU_65656,CMU,5.193452381666666,80.953571425,Male,Poor,append,0.169742417,3.523857143,,,,,
1386,KGL_S1838,Kaggle,5.2,60.3,Male,Poor,append,,,20,3.3,88.1,6712.916666666666,6.5
1528,KGL_S1980,Kaggle,5.2,81.0,Female,Poor,append,,,20,3.7,93.0,7470.833333333334,6.0
1252,KGL_S1704,Kaggle,5.2,76.3,Female,Poor,append,,,21,5.5,92.9,6010.000000000001,4.4
1462,KGL_S1914,Kaggle,5.2,72.9,Female,Poor,append,,,20,2.6,87.4,7424.583333333334,2.9000000000000004
813,KGL_S1265,Kaggle,5.2,18.4,Female,Poor,append,,,18,0.6,79.9,4987.083333333334,6.1
1400,KGL_S1852,Kaggle,5.2,72.5,Male,Poor,append,,,21,2.3,67.5,6739.583333333333,1.7
1340,KGL_S1792,Kaggle,5.2,50.1,Female,Poor,append,,,21,2.1,86.4,6587.083333333334,7.300000000000001
612,KGL_S1064,Kaggle,5.2,68.6,Male,Poor,append,,,23,3.2,80.8,5790.833333333333,3.8
1064,KGL_S1516,Kaggle,5.2,80.9,Male,Poor,append,,,24,5.3,100.0,6854.166666666666,4.8
803,KGL_S1255,Kaggle,5.2,85.0,Female,Poor,append,,,19,4.9,84.6,6927.500000000001,4.4
1541,KGL_S1993,Kaggle,5.2,70.9,Male,Poor,append,,,20,3.8,89.0,6943.75,3.1
1307,KGL_S1759,Kaggle,5.2,54.9,Female,Poor,append,,,23,2.8,90.2,6234.166666666667,5.8
885,KGL_S1337,Kaggle,5.2,93.1,Male,Poor,append,,,19,5.3,92.0,6747.916666666666,3.9000000000000004
134,CMU_653,CMU,5.23115942,82.0,Female,Poor,append,0.185261134,2.98,,,,,
11,CMU_279,CMU,5.243103448333333,87.25,Female,Poor,append,0.168517574,3.61,,,,,
500,CMU_69057,CMU,5.279444444999999,75.004166675,Male,Poor,append,0.250109988,3.222166667,,,,,
479,CMU_51475,CMU,5.279761905,94.44166667500001,Female,Poor,append,2.465545694,3.666666667,,,,,
1067,KGL_S1519,Kaggle,5.3,71.2,Male,Poor,append,,,18,2.9,99.0,6922.916666666667,3.9000000000000004
1461,KGL_S1913,Kaggle,5.3,53.5,Male,Poor,append,,,18,3.8,79.3,5638.75,6.1
963,KGL_S1415,Kaggle,5.3,68.3,Male,Poor,append,,,17,3.4,88.8,6084.583333333333,3.3
1106,KGL_S1558,Kaggle,5.3,60.1,Male,Poor,append,,,24,4.6,89.3,5586.666666666666,3.4000000000000004
727,KGL_S1179,Kaggle,5.3,58.1,Female,Poor,append,,,19,3.8,90.2,5973.75,5.5
1189,KGL_S1641,Kaggle,5.3,74.7,Male,Poor,append,,,22,3.4,86.9,6287.083333333334,5.7
1151,KGL_S1603,Kaggle,5.3,35.8,Female,Poor,append,,,22,1.1,94.5,5383.333333333334,4.4
870,KGL_S1322,Kaggle,5.3,96.1,Male,Poor,append,,,20,6.1,68.7,7332.083333333332,6.300000000000001
592,KGL_S1044,Kaggle,5.3,78.5,Female,Poor,append,,,20,3.6,73.0,7095.833333333333,2.2
1351,KGL_S1803,Kaggle,5.3,76.3,Female,Poor,append,,,17,4.5,86.0,6691.666666666667,3.8
898,KGL_S1350,Kaggle,5.3,54.0,Male,Poor,append,,,20,1.8,72.8,6049.166666666667,6.2
604,KGL_S1056,Kaggle,5.3,66.7,Male,Poor,append,,,24,2.5,83.9,6909.999999999999,2.0
1256,KGL_S1708,Kaggle,5.3,53.2,Male,Poor,append,,,24,1.9,92.6,6179.583333333333,5.1
1356,KGL_S1808,Kaggle,5.3,43.9,Male,Poor,append,,,22,3.2,67.3,4651.25,4.3
541,CMU_97990,CMU,5.302083333333333,86.1125,Female,Poor,append,2.316655556,3.611166667,,,,,
463,CMU_44872,CMU,5.302380951666667,95.83749999999999,Female,Poor,append,0.261658951,3.9445,,,,,
173,CMU_617,CMU,5.34920635,90.75,Male,Poor,append,2.033929167,4.0,,,,,
296,CMU_355,CMU,5.39047619,90.75,Female,Poor,append,0.018477747,3.57,,,,,
1094,KGL_S1546,Kaggle,5.4,62.9,Male,Poor,append,,,21,4.5,85.8,5426.25,3.9000000000000004
1299,KGL_S1751,Kaggle,5.4,96.2,Female,Poor,append,,,21,6.8,80.0,7156.25,4.9
614,KGL_S1066,Kaggle,5.4,66.5,Male,Poor,append,,,20,3.6,67.0,6393.75,5.1000000000000005
782,KGL_S1234,Kaggle,5.4,62.9,Male,Poor,append,,,20,3.0,88.1,5910.833333333333,6.4
769,KGL_S1221,Kaggle,5.4,63.7,Male,Poor,append,,,19,2.8,100.0,6614.583333333333,4.5
1277,KGL_S1729,Kaggle,5.4,66.7,Male,Poor,append,,,20,3.5,70.6,6150.416666666666,5.7
716,KGL_S1168,Kaggle,5.4,50.1,Male,Poor,append,,,23,1.7,89.0,5672.916666666667,3.9
645,KGL_S1097,Kaggle,5.4,80.9,Male,Poor,append,,,20,4.1,90.4,6801.666666666667,3.0
763,KGL_S1215,Kaggle,5.4,67.5,Female,Poor,append,,,21,3.2,76.5,5818.75,4.9
1289,KGL_S1741,Kaggle,5.4,51.3,Female,Poor,append,,,22,3.0,98.5,5952.083333333333,3.7
1148,KGL_S1600,Kaggle,5.4,90.2,Male,Poor,append,,,21,6.0,74.4,7037.083333333334,5.5
853,KGL_S1305,Kaggle,5.4,87.5,Female,Poor,append,,,21,4.4,76.6,6175.416666666666,3.9
1103,KGL_S1555,Kaggle,5.4,83.4,Male,Poor,append,,,24,3.4,95.2,7921.666666666667,1.6
826,KGL_S1278,Kaggle,5.4,93.9,Female,Poor,append,,,17,4.2,88.6,7340.000000000001,2.4
1200,KGL_S1652,Kaggle,5.4,100.0,Female,Poor,append,,,23,5.9,96.9,8078.749999999999,5.5
1418,KGL_S1870,Kaggle,5.4,67.5,Other,Poor,append,,,21,4.7,62.0,5497.916666666666,2.7
1413,KGL_S1865,Kaggle,5.4,65.9,Male,Poor,append,,,17,3.8,82.6,5502.5,3.4
1412,KGL_S1864,Kaggle,5.4,53.3,Female,Poor,append,,,20,0.0,88.0,7054.166666666667,1.4000000000000001
1343,KGL_S1795,Kaggle,5.4,89.7,Male,Poor,append,,,23,5.6,85.4,6707.916666666667,5.699999999999999
1006,KGL_S1458,Kaggle,5.4,59.0,Male,Poor,append,,,19,2.9,70.9,4991.25,6.1
689,KGL_S1141,Kaggle,5.4,96.2,Male,Poor,append,,,17,5.0,95.4,7457.916666666667,2.1
1357,KGL_S1809,Kaggle,5.4,89.5,Female,Poor,append,,,21,5.2,88.7,6925.833333333332,6.0
1358,KGL_S1810,Kaggle,5.4,80.7,Male,Poor,append,,,19,4.4,81.2,7780.0,1.5999999999999999
908,KGL_S1360,Kaggle,5.4,81.0,Female,Poor,append,,,20,5.3,85.8,6717.916666666668,5.1
952,KGL_S1404,Kaggle,5.4,85.6,Male,Poor,append,,,24,4.6,74.5,6622.916666666666,4.3
1057,KGL_S1509,Kaggle,5.4,64.6,Female,Poor,append,,,18,4.3,82.8,5642.916666666667,5.5
1259,KGL_S1711,Kaggle,5.4,70.9,Male,Poor,append,,,18,3.2,100.0,6885.416666666667,5.1
